mass    ggH          qqH         WH          ZH          ttH       BR(WW)      BR(ZZ)      BR(bb)      BR(tautau)  BR(gg)
110.0  25.040000    1.791000	1.060000    0.586900	0.188700  0.04820000  0.00439000  0.74500000  0.08020000  0.00197000
110.5  24.820000    1.783000	1.045000    0.578800	0.186460  0.05130000  0.00471000  0.74200000  0.07990000  0.00199000
111.0  24.600000    1.775000	1.030000    0.570800	0.184220  0.05460000  0.00505000  0.73800000  0.07960000  0.00200000
111.5  24.390000    1.766000	1.015000    0.562900	0.181980  0.05800000  0.00542000  0.73400000  0.07930000  0.00202000
112.0  24.180000    1.758000	0.999800    0.555200	0.179740  0.06160000  0.00582000  0.73000000  0.07890000  0.00204000
112.5  24.050000    1.750000	0.985200    0.547600	0.177500  0.06540000  0.00623000  0.72600000  0.07860000  0.00205000
113.0  23.760000    1.742000	0.970900    0.540200	0.175260  0.06930000  0.00668000  0.72200000  0.07820000  0.00207000
113.5  23.560000    1.733000	0.957000    0.532900	0.173020  0.07340000  0.00715000  0.71800000  0.07780000  0.00209000
114.0  23.360000    1.725000	0.943200    0.525800	0.170780  0.07760000  0.00764000  0.71400000  0.07740000  0.00210000
114.5  23.160000    1.717000	0.929700    0.518700	0.168540  0.08210000  0.00817000  0.70900000  0.07690000  0.00212000
115.0  22.960000    1.709000	0.916500    0.511700	0.166300  0.08670000  0.00872000  0.70400000  0.07650000  0.00213000
115.5  22.840000    1.701000	0.903500    0.504900	0.164370  0.09140000  0.00931000  0.69900000  0.07600000  0.00215000
116.0  22.580000    1.693000	0.890700    0.498100	0.162440  0.09640000  0.00992000  0.69400000  0.07550000  0.00216000
116.5  22.390000    1.686000	0.878200    0.491600	0.160510  0.10200000  0.01060000  0.68900000  0.07500000  0.00217000
117.0  22.200000    1.678000	0.865900    0.485000	0.158580  0.10700000  0.01120000  0.68400000  0.07450000  0.00218000
117.5  22.090000    1.670000	0.853800    0.478700	0.156650  0.11200000  0.01200000  0.67800000  0.07400000  0.00220000
118.0  21.900000    1.661000	0.842000    0.472400	0.154720  0.11800000  0.01270000  0.67300000  0.07340000  0.00221000
118.5  21.720000    1.654000	0.830300    0.466200	0.152790  0.12400000  0.01350000  0.66700000  0.07280000  0.00222000
119.0  21.550000    1.647000	0.818700    0.460200	0.150860  0.13000000  0.01430000  0.66100000  0.07220000  0.00223000
119.5  21.370000    1.639000	0.807500    0.454200	0.148930  0.13600000  0.01510000  0.65500000  0.07160000  0.00224000
120.0  21.200000    1.632000	0.796600    0.448300	0.147000  0.14300000  0.01600000  0.64800000  0.07100000  0.00225000
120.5  20.960000    1.624000	0.785900    0.442600	0.145320  0.14900000  0.01690000  0.64200000  0.07030000  0.00226000
121.0  20.860000    1.617000	0.775300    0.436800	0.143640  0.15600000  0.01790000  0.63500000  0.06970000  0.00226000
121.5  20.690000    1.609000	0.764900    0.431200	0.141960  0.16300000  0.01880000  0.62800000  0.06900000  0.00227000
122.0  20.530000    1.602000	0.754700    0.425700	0.140280  0.17000000  0.01990000  0.62100000  0.06830000  0.00228000
122.5  20.370000    1.595000	0.744600    0.420300	0.138600  0.17700000  0.02090000  0.61400000  0.06750000  0.00228000
123.0  20.210000    1.588000	0.734700    0.415000	0.136920  0.18500000  0.02200000  0.60700000  0.06680000  0.00228000
123.5  20.040000    1.580000	0.724900    0.409600	0.135240  0.19200000  0.02310000  0.60000000  0.06600000  0.00229000
124.0  19.830000    1.573000    0.715400    0.404400    0.133400   0.200000   0.024200   0.592000   0.065300   0.002290
124.1  19.799760    1.571628    0.713519    0.403374    0.133081   0.201621   0.024435   0.590546   0.065148   0.002290
124.2  19.770030    1.570239    0.711639    0.402350    0.132762   0.203224   0.024674   0.589160   0.064989   0.002290
124.3  19.740430    1.568835    0.709759    0.401329    0.132443   0.204816   0.024917   0.587799   0.064826   0.002290
124.4  19.710550    1.567421    0.707880    0.400312    0.132122   0.206405   0.025159   0.586426   0.064662   0.002290
124.5  19.680000    1.566000    0.706000    0.399300    0.131800   0.208000   0.025400   0.585000   0.064500   0.002290
124.6  19.648530    1.564576    0.704119    0.398294    0.131476   0.209605   0.025637   0.583492   0.064342   0.002290
124.7  19.616390    1.563155    0.702238    0.397292    0.131151   0.211216   0.025873   0.581914   0.064185   0.002290
124.8  19.583990    1.561747    0.700357    0.396294    0.130829   0.212824   0.026110   0.580291   0.064028   0.002290
124.9  19.551730    1.560360    0.698477    0.395297    0.130511   0.214421   0.026352   0.578645   0.063867   0.002290
125.0  19.570000    1.559000    0.696600    0.394300    0.130200   0.216000   0.026600   0.577000   0.063700   0.002290
125.1  19.489100    1.557669    0.694726    0.393302    0.129897   0.217557   0.026857   0.575375   0.063524   0.002290
125.2  19.458880    1.556339    0.692857    0.392304    0.129600   0.219112   0.027120   0.573768   0.063343   0.002290
125.3  19.429120    1.554975    0.690995    0.391304    0.129304   0.220688   0.027384   0.572174   0.063160   0.002290
125.4  19.399570    1.553540    0.689142    0.390302    0.129005   0.222309   0.027645   0.570586   0.062977   0.002290
125.5  19.370000    1.552000    0.687300    0.389300    0.128700   0.224000   0.027900   0.569000   0.062800   0.002290
125.6  19.340210    1.550339    0.685470    0.388297    0.128385   0.225773   0.028145   0.567410   0.062630   0.002290
125.7  19.310240    1.548623    0.683648    0.387294    0.128063   0.227600   0.028384   0.565815   0.062467   0.002290
125.8  19.280160    1.546937    0.681832    0.386293    0.127739   0.229440   0.028619   0.564215   0.062309   0.002290
125.9  19.250050    1.545368    0.680017    0.385294    0.127417   0.231253   0.028857   0.562610   0.062154   0.002290
126.0  19.220000    1.544000    0.678200    0.384300    0.127100   0.233000   0.029100   0.561000   0.062000   0.002290
126.1  19.190050    1.542886    0.676378    0.383311    0.126792   0.234653   0.029352   0.559386   0.061846   0.002290
126.2  19.160160    1.541944    0.674554    0.382327    0.126491   0.236240   0.029611   0.557773   0.061690   0.002290
126.3  19.130240    1.541060    0.672730    0.381347    0.126194   0.237800   0.029874   0.556167   0.061531   0.002290
126.4  19.100210    1.540117    0.670911    0.380372    0.125898   0.239374   0.030138   0.554574   0.061368   0.002290
126.5  19.070000    1.539000    0.669100    0.379400    0.125600   0.241000   0.030400   0.553000   0.061200   0.002290
126.6  19.039570    1.537628    0.667300    0.378431    0.125298   0.242708   0.030658   0.551446   0.061026   0.002290
126.7  19.009120    1.536055    0.665510    0.377467    0.124994   0.244486   0.030914   0.549892   0.060848   0.002290
126.8  18.978880    1.534368    0.663731    0.376506    0.124691   0.246310   0.031171   0.548316   0.060666   0.002290
126.9  18.949090    1.532654    0.661961    0.375550    0.124392   0.248156   0.031432   0.546693   0.060483   0.002290
127.0  18.920000    1.531000    0.660200    0.374600    0.124100   0.250000   0.031700   0.545000   0.060300   0.002290
127.5  18.780000    1.524000	0.651500    0.369900	0.122950  0.25900000  0.03310000  0.53600000  0.05940000  0.00229000
128.0  18.670000    1.517000	0.642900    0.365200	0.121500  0.26800000  0.03440000  0.52800000  0.05850000  0.00228000
128.5  18.530000    1.511000	0.634400    0.360600	0.120050  0.27700000  0.03580000  0.51900000  0.05760000  0.00228000
129.0  18.390000    1.504000	0.626000    0.356100	0.118600  0.28600000  0.03720000  0.51100000  0.05670000  0.00227000
129.5  18.210000    1.497000	0.617700    0.351600	0.117150  0.29500000  0.03870000  0.50200000  0.05580000  0.00227000
130.0  18.110000    1.490000	0.609500    0.347300	0.115700  0.30500000  0.04010000  0.49300000  0.05480000  0.00226000
130.5  17.980000    1.483000	0.601500    0.343000	0.114440  0.31400000  0.04160000  0.48400000  0.05390000  0.00225000
131.0  17.840000    1.477000	0.593600    0.338800	0.113180  0.32400000  0.04300000  0.47600000  0.05290000  0.00224000
131.5  17.680000    1.470000	0.585900    0.334700	0.111920  0.33300000  0.04450000  0.46700000  0.05200000  0.00223000
132.0  17.550000    1.463000	0.578300    0.330600	0.110660  0.34300000  0.04600000  0.45800000  0.05100000  0.00222000
132.5  17.420000    1.458000	0.570800    0.326600	0.109400  0.35300000  0.04750000  0.44900000  0.05010000  0.00221000
